,name,seed_everything,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,test_prompt_length,max_pred_length,lr,layer_norm_eps,adversarial_training,max_length,batch_size,max_val_accuracy,max_val_accuracy_step,min_train_loss,min_train_loss_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,as_before_bs_accuracy4min_val_loss,same_as_bs_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,ood_as_before_bs_accuracy4min_val_loss,ood_as_before_bs_completion_accuracy4min_val_loss,ood_same_as_bs_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,sos_as_before_bs_accuracy4min_val_loss,sos_same_as_bs_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss
27,misty-sweep-23,26988,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,152,0.021763497963547707,469,0.02117377333343029,288,-0.0167327132076025,288,1,1.0,1.0,0.009615384973585606,1.0,0.4711538553237915,0,0.0,0.0,0.0
28,revived-sweep-22,11019,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,106,0.0216031763702631,477,0.020456712692975998,168,-0.017449773848056793,168,1,1.0,1.0,0.017241379246115685,1.0,0.4396551847457886,0,0.0,0.0,0.0
29,silver-sweep-19,25207,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,86,0.021924220025539398,377,0.021279344335198402,267,-0.01662714220583439,267,1,1.0,1.0,0.021739130839705467,1.0,0.5,0,0.0,0.0,0.0
30,misunderstood-sweep-21,69778,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,104,0.022287601605057716,247,0.02140830084681511,118,-0.016498185694217682,118,1,1.0,1.0,0.017241379246115685,1.0,0.4396551847457886,0,0.0,0.0,0.0
31,logical-sweep-20,29425,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,154,0.02134808897972107,484,0.0206063911318779,345,-0.017300095409154892,345,1,1.0,1.0,0.010526316240429878,1.0,0.46315792202949524,0,0.0,0.0,0.0
32,expert-sweep-18,88636,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,102,0.02251359634101391,244,0.02083810791373253,145,-0.017068378627300262,145,1,1.0,1.0,0.024390242993831635,1.0,0.3739837408065796,0,0.0,0.0,0.0
33,lilac-sweep-17,63225,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,146,0.02185554802417755,454,0.020216984674334526,341,-0.017689501866698265,341,1,1.0,1.0,0.032258063554763794,1.0,0.3629032075405121,0,1.0,0.7592592835426331,0.7592592835426331
34,winter-sweep-16,89172,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,171,0.021877817809581757,324,0.021092860028147697,321,-0.016813626512885094,321,1,1.0,1.0,0.009433962404727936,1.0,0.40566039085388184,0,0.0,0.0,0.0
35,flowing-sweep-15,94897,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,104,0.021456189453601837,494,0.020796077325940132,201,-0.01711040921509266,201,1,1.0,1.0,0.010309278033673763,1.0,0.47422680258750916,0,0.0,0.0,0.0
36,cosmic-sweep-10,4453,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9931906461715698,54,0.02388862706720829,115,0.026136619970202446,24,-0.011769866570830345,24,1,1.0,1.0,0.032258063554763794,1.0,0.3709677457809448,0,0.0,0.0,0.0
37,warm-sweep-9,99755,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9935250282287598,60,0.02342342585325241,117,0.02410927601158619,60,-0.013797210529446602,60,1,1.0,1.0,0.025641027837991714,1.0,0.43589746952056885,0,0.0,0.0,0.0
38,cerulean-sweep-8,21584,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9935554265975952,34,0.02329225465655327,126,0.024407710880041122,34,-0.013498775660991669,34,1,1.0,1.0,0.03418803587555885,1.0,0.43589746952056885,0,0.0,0.0,0.0
39,hardy-sweep-7,48114,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9936162233352661,39,0.023053595796227455,134,0.023188505321741104,68,-0.014717981219291687,68,1,1.0,1.0,0.024193547666072845,1.0,0.3951612710952759,0,0.0,0.0,0.0
40,comfy-sweep-6,82927,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9947106242179871,22,0.02371949888765812,118,0.0227181576192379,56,-0.015188328921794891,56,1,1.0,1.0,0.019417475908994675,1.0,0.5048543810844421,0,0.0,0.0,0.0
41,smart-sweep-5,46260,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9959569573402405,14,0.022742722183465958,145,0.021986225619912148,78,-0.015920260921120644,78,1,1.0,1.0,0.010638297535479069,1.0,0.521276593208313,0,0.0,0.0,0.0
42,frosty-sweep-4,52649,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.993950605392456,50,0.024084484204649925,105,0.022992458194494247,50,-0.014914028346538544,50,1,1.0,1.0,0.017241379246115685,1.0,0.4396551847457886,0,0.0,0.0,0.0
43,fearless-sweep-3,24656,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,35,0.023213384672999382,139,0.022489989176392555,44,-0.015416497364640236,44,1,1.0,1.0,0.010526316240429878,1.0,0.5052632093429565,0,0.0,0.0,0.0
44,worthy-sweep-2,7678,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9955617785453796,76,0.022938204929232597,149,0.02161218784749508,72,-0.016294298693537712,72,1,1.0,1.0,0.020202020183205605,1.0,0.4545454680919647,0,0.0,0.0,0.0
45,dainty-sweep-1,38515,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9950146079063416,78,0.022933229804039,138,0.021697232499718666,78,-0.016209254041314125,78,1,1.0,1.0,0.02500000223517418,1.0,0.40833336114883423,0,0.0,0.0,0.0
